Corresponding unmodified MPL-2.0 source archives are bundled in legal/sources.
nucleo-4253de9faabb4e5c6d81d946a5e35a90f87347ee.tar | SHA-256 501463d077104e2fd50d49a75e80bf6201d166d583ea478d4bebb68cfbf87748 | git+https://github.com/helix-editor/nucleo.git?rev=4253de9faabb4e5c6d81d946a5e35a90f87347ee#4253de9faabb4e5c6d81d946a5e35a90f87347ee
nucleo-matcher-4253de9faabb4e5c6d81d946a5e35a90f87347ee.tar | SHA-256 501463d077104e2fd50d49a75e80bf6201d166d583ea478d4bebb68cfbf87748 | git+https://github.com/helix-editor/nucleo.git?rev=4253de9faabb4e5c6d81d946a5e35a90f87347ee#4253de9faabb4e5c6d81d946a5e35a90f87347ee
option-ext-0.2.0.crate | SHA-256 04744f49eae99ab78e0d5c0b603ab218f515ea8cfe5a456d7629ad883a3b6e7d | https://github.com/soc/option-ext.git
symphonia-0.6.0.crate | SHA-256 1758d6c853020a7244de03cc3e0185eaea3f58715122422dd3cc7452e6d4c16a | https://github.com/pdeljanov/Symphonia
symphonia-bundle-mp3-0.6.0.crate | SHA-256 350f1f2f2e19ad4dd315db94304d1eb361b29af070681f94e51b8fdaad769546 | https://github.com/pdeljanov/Symphonia
symphonia-common-0.6.0.crate | SHA-256 8257891ffa7f05e02b58f4761e2abf7e5278c8744fd59e981559e050f86eef55 | https://github.com/pdeljanov/Symphonia
symphonia-core-0.6.0.crate | SHA-256 95ec293b5f288383b72a7bffcade6b2860b642cf66f28b3bd5967349a49938b1 | https://github.com/pdeljanov/Symphonia
symphonia-format-isomp4-0.6.0.crate | SHA-256 2d179a01305b3505940135a9f0180d6ef4b487912748fe97554756f120fbd05e | https://github.com/pdeljanov/Symphonia
symphonia-format-mkv-0.6.0.crate | SHA-256 fb17713e134f5ad316c2690fa3104590ccc85842cdbcf82c3cd1a845cb08aa74 | https://github.com/pdeljanov/Symphonia
symphonia-format-ogg-0.6.0.crate | SHA-256 b05a67e02b1e4fca1a261ba4fe06910a9357489ad8c36aafdd2960e9c6559433 | https://github.com/pdeljanov/Symphonia
symphonia-format-riff-0.6.0.crate | SHA-256 17424452a777666d3eaf09a5c651029b15b6a333812fcc5b5474f2a3f0cff3f0 | https://github.com/pdeljanov/Symphonia
symphonia-metadata-0.6.0.crate | SHA-256 a31acf5cd623398a6208e2225d18f4b20f761c55098a796a5247ad516a4a8681 | https://github.com/pdeljanov/Symphonia
